Culture Test ID,Culture Sample 1 Timestamp,Beach,Culture Sample 1 Reading,Culture Sample 2 Reading,Culture Reading Mean,Culture Note,Culture Sample Interval,Culture Sample 2 Timestamp,DNA Test ID,DNA Sample Timestamp,DNA Sample 1 Reading,DNA Sample 2 Reading,DNA Reading Mean,Latitude,Longitude,Location
103758,06/19/2006 12:00:00 AM,NA,10.8,1.0,3.3,,,,,,,,,,,
97121,07/27/2012 12:00:00 AM,NA,86.0,77.1,81.4,,,,,,,,,,,
104266,06/28/2006 12:00:00 AM,NA,7.3,9.7,8.4,,,,,,,,,,,
105123,08/16/2012 12:00:00 AM,NA,1.0,1.0,1.0,,,,,,,,,,,
103161,05/30/2006 12:00:00 AM,NA,1.0,5.2,2.3,,,,,,,,,,,
104257,06/27/2006 12:00:00 AM,NA,1.0,1.0,1.0,,,,,,,,,,,
105530,06/28/2013 12:00:00 AM,NA,56.0,60.0,58.0,,,,,,,,,,,
98341,08/17/2006 12:00:00 AM,NA,686.7,648.8,667.5,,,,,,,,,,,
105754,08/27/2012 12:00:00 AM,NA,95.9,66.3,79.7,,,,,,,,,,,
111287,08/17/2012 12:00:00 AM,NA,96.0,98.5,97.2,,,,,,,,,,,
107221,06/04/2014 12:00:00 AM,NA,2420.0,2420.0,2420.0,,,,,,,,,,,
108386,06/09/2014 12:00:00 AM,NA,2420.0,2420.0,2420.0,,,,,,,,,,,
96712,07/22/2011 12:00:00 AM,NA,1.0,11.0,3.3,,,,,,,,,,,
106398,06/18/2012 12:00:00 AM,NA,26.9,24.6,25.7,,,,,,,,,,,
95455,07/15/2014 12:00:00 AM,NA,1.0,1.0,1.0,,,,,,,,,,,
104233,06/26/2006 12:00:00 AM,NA,1.0,1.0,1.0,,,,,,,,,,,
97478,08/30/2011 12:00:00 AM,NA,686.7,325.5,472.8,,,,,,,,,,,
109395,08/20/2013 12:00:00 AM,NA,649.0,238.0,393.0,,,,,,,,,,,
96668,07/20/2011 12:00:00 AM,NA,114.5,68.3,88.4,,,,,,,,,,,
98282,07/20/2006 12:00:00 AM,NA,101.4,410.6,204.0,,,,,,,,,,,
98169,06/07/2007 12:00:00 AM,NA,14.4,15.6,15.0,,,,,,,,,,,
106704,06/26/2014 12:00:00 AM,NA,26.0,42.0,33.0,,,,,,,,,,,
107933,08/08/2013 12:00:00 AM,NA,121.0,122.0,121.5,,,,,,,,,,,
104184,06/22/2006 12:00:00 AM,NA,1.0,1.0,1.0,,,,,,,,,,,
111752,05/29/2014 12:00:00 AM,NA,2420.0,1414.0,1849.8,,,,,,,,,,,
106086,07/22/2013 12:00:00 AM,NA,127.0,99.0,112.1,,,,,,,,,,,
111949,08/29/2012 12:00:00 AM,NA,107.1,139.6,122.3,,,,,,,,,,,
104612,06/16/2006 12:00:00 AM,NA,13.1,21.6,16.8,,,,,,,,,,,
95477,07/16/2014 12:00:00 AM,NA,30.0,55.0,40.6,,,,,,,,,,,
107961,08/15/2013 12:00:00 AM,NA,238.0,345.0,286.5,,,,,,,,,,,
111252,06/26/2013 12:00:00 AM,NA,1.0,1.0,1.0,,,,,,,,,,,
107003,07/30/2013 12:00:00 AM,NA,45.0,,6.7,,,,,,,,,,,
103430,08/28/2006 12:00:00 AM,NA,123.4,152.9,137.4,,,,,,,,,,,
90340,07/01/2011 12:00:00 AM,NA,1.0,5.2,2.3,,,,,,,,,,,
104374,08/02/2006 12:00:00 AM,NA,148.3,238.5,188.1,,,,,,,,,,,
103248,07/26/2006 12:00:00 AM,NA,4.1,9.8,6.3,,,,,,,,,,,
98487,06/21/2007 12:00:00 AM,NA,1.0,1.0,1.0,,,,,,,,,,,
98330,08/16/2006 12:00:00 AM,NA,65.0,70.3,67.6,,,,,,,,,,,
109285,08/10/2013 12:00:00 AM,NA,1966.0,687.0,1162.2,,,,,,,,,,,
111781,07/03/2013 12:00:00 AM,NA,1.0,1.0,1.0,,,,,,,,,,,
104165,06/12/2006 12:00:00 AM,NA,1.0,1.0,1.0,,,,,,,,,,,
103865,08/31/2006 12:00:00 AM,NA,72.8,57.3,64.6,,,,,,,,,,,
111402,08/22/2012 12:00:00 AM,NA,70.3,45.7,56.7,,,,,,,,,,,
98146,06/06/2007 12:00:00 AM,NA,22.6,41.7,30.7,,,,,,,,,,,
96893,08/28/2013 12:00:00 AM,NA,62.0,140.0,93.2,,,,,,,,,,,
112517,08/03/2012 12:00:00 AM,NA,13.4,13.2,13.3,,,,,,,,,,,
105378,07/14/2014 12:00:00 AM,NA,2420.0,2420.0,2420.0,,,,,,,,,,,
102729,05/26/2006 12:00:00 AM,NA,166.4,23.1,62.0,,,,,,,,,,,
110423,07/07/2014 12:00:00 AM,NA,34.0,20.0,26.1,,,,,,,,,,,
110758,08/10/2012 12:00:00 AM,NA,517.2,387.2,447.5,,,,,,,,,,,
107340,07/02/2012 12:00:00 AM,NA,19.7,35.0,26.3,,,,,,,,,,,
103274,07/27/2006 12:00:00 AM,NA,30.9,24.6,27.6,,,,,,,,,,,
96052,08/02/2011 12:00:00 AM,NA,1.0,218.1,14.8,,,,,,,,,,,
106442,06/20/2012 12:00:00 AM,NA,8.4,22.3,13.7,,,,,,,,,,,
103209,06/01/2006 12:00:00 AM,NA,95.9,107.6,101.6,,,,,,,,,,,
97003,08/25/2011 12:00:00 AM,NA,9.8,27.9,16.5,,,,,,,,,,,
104060,06/07/2006 12:00:00 AM,NA,24.6,9.8,15.5,,,,,,,,,,,
103300,07/28/2006 12:00:00 AM,NA,1203.3,1986.3,1546.0,,,,,,,,,,,
98366,08/18/2006 12:00:00 AM,NA,275.5,435.0,346.2,,,,,,,,,,,
110468,07/09/2014 12:00:00 AM,NA,9.0,11.0,9.9,,,,,,,,,,,
107808,07/24/2014 12:00:00 AM,NA,14.0,10.0,11.8,,,,,,,,,,,
99913,05/14/2009 12:00:00 AM,NA,1.0,3.1,1.8,,,,,,,,,,,
104564,06/14/2006 12:00:00 AM,NA,33.6,32.7,33.1,,,,,,,,,,,
108051,08/19/2013 12:00:00 AM,NA,184.0,248.0,213.6,,,,,,,,,,,
103924,05/29/2007 12:00:00 AM,NA,0.0,4.1,,,,,,,,,,,,
107037,07/31/2013 12:00:00 AM,NA,45.0,47.0,46.0,,,,,,,,,,,
109342,08/12/2013 12:00:00 AM,NA,2420.0,2420.0,2420.0,,,,,,,,,,,
110781,08/11/2012 12:00:00 AM,NA,18.3,17.1,17.7,,,,,,,,,,,
103326,07/29/2006 12:00:00 AM,NA,45.7,48.7,47.2,,,,,,,,,,,
102681,05/24/2006 12:00:00 AM,NA,6.3,121.1,27.6,,,,,,,,,,,
103743,06/19/2006 12:00:00 AM,NA,2.0,2.0,2.0,,,,,,,,,,,
109704,07/02/2014 12:00:00 AM,NA,17.0,15.0,16.0,,,,,,,,,,,
99888,05/13/2009 12:00:00 AM,NA,44.3,18.7,28.8,,,,,,,,,,,
109387,08/14/2013 12:00:00 AM,NA,107.0,204.0,147.7,,,,,,,,,,,
97500,08/31/2011 12:00:00 AM,NA,517.2,387.3,447.6,,,,,,,,,,,
96929,08/29/2013 12:00:00 AM,NA,2420.0,2420.0,2420.0,,,,,,,,,,,
106649,06/23/2014 12:00:00 AM,NA,2420.0,2420.0,2420.0,,,,,,,,,,,
103806,06/21/2006 12:00:00 AM,NA,4.1,4.1,4.1,,,,,,,,,,,
109989,07/09/2012 12:00:00 AM,NA,7.2,2.0,3.8,,,,,,,,,,,
98695,06/15/2007 12:00:00 AM,NA,5.2,7.5,6.2,,,,,,,,,,,
109726,07/03/2014 12:00:00 AM,NA,4.0,1.0,2.0,,,,,,,,,,,
112334,06/15/2014 12:00:00 AM,NA,260.0,131.0,184.6,,,,,,,,,,,
96871,08/27/2013 12:00:00 AM,NA,249.0,19.0,68.8,,,,,,,,,,,
96118,08/05/2011 12:00:00 AM,NA,209.8,461.1,311.0,,,,,,,,,,,
104472,06/01/2007 12:00:00 AM,NA,0.0,0.0,,,,,,,,,,,,
106163,07/26/2013 12:00:00 AM,NA,1.0,1.0,1.0,,,,,,,,,,,
105819,06/15/2012 12:00:00 AM,NA,107.1,61.3,81.0,,,,,,,,,,,
109429,08/21/2013 12:00:00 AM,NA,68.0,139.0,97.2,,,,,,,,,,,
106486,06/22/2012 12:00:00 AM,NA,1553.1,980.4,1234.0,,,,,,,,,,,
104281,06/28/2006 12:00:00 AM,NA,344.8,98.7,184.5,,,,,,,,,,,
109430,08/21/2013 12:00:00 AM,NA,2420.0,2420.0,2420.0,,,,,,,,,,,
92936,08/12/2014 12:00:00 AM,NA,34.0,23.0,28.0,,,,,,,,,,,
106764,06/23/2012 12:00:00 AM,NA,19.7,19.9,19.8,,,,,,,,,,,
112497,07/19/2013 12:00:00 AM,NA,13.0,15.0,14.0,,,,,,,,,,,
97412,08/27/2011 12:00:00 AM,NA,95.9,106.7,101.2,,,,,,,,,,,
112609,08/07/2012 12:00:00 AM,NA,21.3,20.1,20.7,,,,,,,,,,,
104084,06/08/2006 12:00:00 AM,NA,1.0,1.0,1.0,,,,,,,,,,,
105596,07/01/2013 12:00:00 AM,NA,1.0,1.0,1.0,,,,,,,,,,,
106131,07/24/2013 12:00:00 AM,NA,93.0,248.0,151.9,,,,,,,,,,,
107898,08/07/2013 12:00:00 AM,NA,488.0,184.0,299.7,,,,,,,,,,,
110645,07/31/2012 12:00:00 AM,NA,325.5,313.0,319.2,,,,,,,,,,,
96514,07/13/2011 12:00:00 AM,NA,9.6,2.0,4.4,,,,,,,,,,,
96848,08/26/2013 12:00:00 AM,NA,206.0,42.0,93.0,,,,,,,,,,,
110668,08/01/2012 12:00:00 AM,NA,111.2,209.8,152.7,,,,,,,,,,,
104449,05/31/2007 12:00:00 AM,NA,0.0,0.0,,,,,,,,,,,,
96338,08/15/2011 12:00:00 AM,NA,1.0,285.1,16.9,,,,,,,,,,,
103600,06/02/2006 12:00:00 AM,NA,115.3,118.7,117.0,,,,,,,,,,,
106808,06/25/2012 12:00:00 AM,NA,,1.0,,,,,,,,,,,,
110446,07/08/2014 12:00:00 AM,NA,5.0,13.0,8.1,,,,,,,,,,,
109742,08/17/2011 12:00:00 AM,NA,261.3,307.6,283.5,,,,,,,,,,,
108794,07/26/2014 12:00:00 AM,NA,308.0,184.0,238.1,,,,,,,,,,,
109307,08/11/2013 12:00:00 AM,NA,1553.0,1203.0,1366.8,,,,,,,,,,,
102657,05/23/2006 12:00:00 AM,NA,13.4,8.5,10.7,,,,,,,,,,,
98123,06/05/2007 12:00:00 AM,NA,0.0,0.0,,,,,,,,,,,,
104386,08/03/2006 12:00:00 AM,NA,275.5,107.6,172.2,,,,,,,,,,,
97699,07/30/2011 12:00:00 AM,NA,727.0,42.0,174.7,,,,,,,,,,,
107393,07/20/2012 12:00:00 AM,NA,1.0,1.0,1.0,,,,,,,,,,,
106241,07/29/2013 12:00:00 AM,NA,62.0,115.0,84.4,,,,,,,,,,,
97882,07/05/2006 12:00:00 AM,NA,,1.0,,,,,,,,,,,,
107060,08/01/2013 12:00:00 AM,NA,2420.0,2420.0,2420.0,,,,,,,,,,,
96536,07/14/2011 12:00:00 AM,NA,1.0,1.0,1.0,,,,,,,,,,,
97906,07/07/2006 12:00:00 AM,NA,2419.6,2419.6,2419.6,,,,,,,,,,,
103585,06/02/2006 12:00:00 AM,NA,9.8,5.2,7.1,,,,,,,,,,,
98650,06/13/2007 12:00:00 AM,NA,1.0,2.0,1.4,,,,,,,,,,,
93254,08/21/2014 12:00:00 AM,NA,84.0,86.0,85.0,,,,,,,,,,,
103815,06/22/2006 12:00:00 AM,NA,77.6,77.1,77.3,,,,,,,,,,,
110936,06/18/2014 12:00:00 AM,NA,39.0,40.0,39.5,,,,,,,,,,,
110712,08/08/2012 12:00:00 AM,NA,2.0,2.0,2.0,,,,,,,,,,,
103886,09/01/2006 12:00:00 AM,NA,135.4,122.3,128.7,,,,,,,,,,,
107025,07/31/2013 12:00:00 AM,NA,152.0,75.0,106.8,,,,,,,,,,,
102870,07/25/2006 12:00:00 AM,NA,39.1,83.9,57.3,,,,,,,,,,,
93620,08/28/2014 12:00:00 AM,NA,5.0,1.0,2.2,,,,,,,,,,,
96930,08/29/2013 12:00:00 AM,NA,250.0,291.0,269.7,,,,,,,,,,,
112431,07/16/2013 12:00:00 AM,NA,2.0,10.0,4.5,,,,,,,,,,,
103176,05/30/2006 12:00:00 AM,NA,1.0,1.0,1.0,,,,,,,,,,,
107985,08/16/2013 12:00:00 AM,NA,36.0,51.0,42.8,,,,,,,,,,,
109786,08/19/2011 12:00:00 AM,NA,648.8,365.4,486.9,,,,,,,,,,,
90274,06/28/2011 12:00:00 AM,NA,9.8,24.6,15.5,,,,,,,,,,,
103455,08/29/2006 12:00:00 AM,NA,156.5,182.9,169.2,,,,,,,,,,,
109971,08/05/2014 12:00:00 AM,NA,687.0,727.0,706.7,,,,,,,,,,,
97054,07/24/2012 12:00:00 AM,NA,866.4,980.4,921.6,,,,,,,,,,,
93455,08/25/2014 12:00:00 AM,NA,28.0,22.0,24.8,,,,,,,,,,,
96096,08/04/2011 12:00:00 AM,NA,686.7,167.0,338.6,,,,,,,,,,,
109441,08/22/2013 12:00:00 AM,NA,1.0,1.0,1.0,,,,,,,,,,,
96272,08/12/2011 12:00:00 AM,NA,1.0,1.0,1.0,,,,,,,,,,,
93188,08/18/2014 12:00:00 AM,NA,1.0,1.0,1.0,,,,,,,,,,,
104747,07/03/2006 12:00:00 AM,NA,0.0,0.0,,,,,,,,,,,,
109682,07/01/2014 12:00:00 AM,NA,770.0,921.0,842.1,,,,,,,,,,,
106852,06/27/2012 12:00:00 AM,NA,21.3,10.9,15.2,,,,,,,,,,,
92715,08/08/2014 12:00:00 AM,NA,2.0,4.0,2.8,,,,,,,,,,,
110622,07/30/2012 12:00:00 AM,NA,54.5,88.0,69.3,,,,,,,,,,,
110033,07/11/2012 12:00:00 AM,NA,41.4,52.0,46.4,,,,,,,,,,,
103767,06/20/2006 12:00:00 AM,NA,2.0,40.2,9.0,,,,,,,,,,,
105054,08/13/2012 12:00:00 AM,NA,387.3,410.6,398.8,,,,,,,,,,,
108726,07/16/2012 12:00:00 AM,NA,24.3,21.3,22.8,,,,,,,,,,,
103200,05/31/2006 12:00:00 AM,NA,1.0,1.0,1.0,,,,,,,,,,,
98065,08/14/2006 12:00:00 AM,NA,41.4,37.3,39.3,,,,,,,,,,,
107178,06/02/2014 12:00:00 AM,NA,2420.0,2420.0,2420.0,,,,,,,,,,,
92671,08/06/2014 12:00:00 AM,NA,19.0,31.0,24.3,,,,,,,,,,,
106660,06/24/2014 12:00:00 AM,NA,3.0,1.0,1.7,,,,,,,,,,,
106119,07/24/2013 12:00:00 AM,NA,3.0,2.0,2.4,,,,,,,,,,,
111274,06/27/2013 12:00:00 AM,NA,35.0,14.0,22.1,,,,,,,,,,,
111379,08/21/2012 12:00:00 AM,NA,6.0,4.0,4.9,,,,,,,,,,,
109454,08/22/2013 12:00:00 AM,NA,2420.0,2420.0,2420.0,,,,,,,,,,,
98076,08/15/2006 12:00:00 AM,NA,325.5,290.9,307.7,,,,,,,,,,,
110546,07/12/2013 12:00:00 AM,NA,33.0,21.0,26.3,,,,,,,,,,,
109808,08/20/2011 12:00:00 AM,NA,5.2,6.3,5.7,,,,,,,,,,,
103225,06/01/2006 12:00:00 AM,NA,1.0,1.0,1.0,,,,,,,,,,,
103657,06/05/2006 12:00:00 AM,NA,1.0,1.0,1.0,,,,,,,,,,,
107830,07/25/2014 12:00:00 AM,NA,326.0,270.0,296.7,,,,,,,,,,,
104290,06/29/2006 12:00:00 AM,NA,1.0,4.1,2.0,,,,,,,,,,,
110435,07/07/2014 12:00:00 AM,NA,2420.0,2420.0,2420.0,,,,,,,,,,,
105300,07/11/2014 12:00:00 AM,NA,8.0,17.0,11.7,,,,,,,,,,,
97743,08/01/2011 12:00:00 AM,NA,37.3,238.2,94.3,,,,,,,,,,,
96690,07/21/2011 12:00:00 AM,NA,1.0,1.0,1.0,,,,,,,,,,,
96404,07/08/2011 12:00:00 AM,NA,1.0,1.0,1.0,,,,,,,,,,,
105077,08/14/2012 12:00:00 AM,NA,148.3,191.8,168.7,,,,,,,,,,,
109375,08/14/2013 12:00:00 AM,NA,1046.0,291.0,551.7,,,,,,,,,,,
109453,08/22/2013 12:00:00 AM,NA,127.0,184.0,152.9,,,,,,,,,,,
104411,08/04/2006 12:00:00 AM,NA,118.8,137.6,127.9,,,,,,,,,,,
96492,07/12/2011 12:00:00 AM,NA,43.5,20.8,30.1,,,,,,,,,,,
106830,06/26/2012 12:00:00 AM,NA,10.8,36.4,19.8,,,,,,,,,,,
109883,08/01/2014 12:00:00 AM,NA,4.0,5.0,4.5,,,,,,,,,,,
97522,09/01/2011 12:00:00 AM,NA,1732.9,770.1,1155.2,,,,,,,,,,,
109329,08/12/2013 12:00:00 AM,NA,115.0,55.0,79.5,,,,,,,,,,,
107764,07/22/2014 12:00:00 AM,NA,1.0,4.0,2.0,,,,,,,,,,,
111926,08/28/2012 12:00:00 AM,NA,1.0,1.0,1.0,,,,,,,,,,,
110055,07/12/2012 12:00:00 AM,NA,36.4,43.2,39.7,,,,,,,,,,,
98256,07/19/2006 12:00:00 AM,NA,126.7,53.8,82.6,,,,,,,,,,,
98510,06/22/2007 12:00:00 AM,NA,16.0,41.4,25.7,,,,,,,,,,,
111995,08/31/2012 12:00:00 AM,NA,185.0,275.5,225.8,,,,,,,,,,,
102844,07/24/2006 12:00:00 AM,NA,101.9,686.7,264.5,,,,,,,,,,,
93002,08/15/2014 12:00:00 AM,NA,44.0,23.0,31.8,,,,,,,,,,,
96360,08/16/2011 12:00:00 AM,NA,648.8,325.5,459.5,,,,,,,,,,,
104321,07/31/2006 12:00:00 AM,NA,24.1,32.3,27.9,,,,,,,,,,,
112032,09/02/2011 12:00:00 AM,NA,156.5,104.3,127.8,,,,,,,,,,,
98464,06/20/2007 12:00:00 AM,NA,12.1,16.1,14.0,,,,,,,,,,,
99889,05/13/2009 12:00:00 AM,NA,16.0,33.6,23.2,,,,,,,,,,,
96382,07/07/2011 12:00:00 AM,NA,17.3,6.3,10.4,,,,,,,,,,,
104193,06/23/2006 12:00:00 AM,NA,242.7,166.4,201.0,,,,,,,,,,,
105366,07/14/2014 12:00:00 AM,NA,41.0,34.0,37.3,,,,,,,,,,,
111230,06/25/2013 12:00:00 AM,NA,1.0,1.0,1.0,,,,,,,,,,,
107742,07/21/2014 12:00:00 AM,NA,29.0,10.0,17.0,,,,,,,,,,,
108860,07/29/2014 12:00:00 AM,NA,57.0,78.0,66.7,,,,,,,,,,,
93477,08/26/2014 12:00:00 AM,NA,1.0,1.0,1.0,,,,,,,,,,,
108882,07/30/2014 12:00:00 AM,NA,44.0,39.0,41.4,,,,,,,,,,,
97280,08/30/2013 12:00:00 AM,NA,14.0,22.0,17.5,,,,,,,,,,,
109465,08/23/2013 12:00:00 AM,NA,23.0,10.0,15.2,,,,,,,,,,,
103791,06/21/2006 12:00:00 AM,NA,613.1,686.7,648.9,,,,,,,,,,,
98604,06/11/2007 12:00:00 AM,NA,1.0,5.2,2.3,,,,,,,,,,,
103357,08/25/2006 12:00:00 AM,NA,920.8,866.4,893.2,,,,,,,,,,,
103840,08/30/2006 12:00:00 AM,NA,178.5,184.2,181.3,,,,,,,,,,,
96822,07/27/2011 12:00:00 AM,NA,1.0,1.0,1.0,,,,,,,,,,,
93210,08/19/2014 12:00:00 AM,NA,140.0,122.0,130.7,,,,,,,,,,,
105685,08/24/2012 12:00:00 AM,NA,83.9,131.7,105.1,,,,,,,,,,,
92914,08/11/2014 12:00:00 AM,NA,30.0,28.0,29.0,,,,,,,,,,,
93642,08/29/2014 12:00:00 AM,NA,86.0,518.0,211.1,,,,,,,,,,,
96250,08/11/2011 12:00:00 AM,NA,1.0,1.0,1.0,,,,,,,,,,,
107876,08/06/2013 12:00:00 AM,NA,2420.0,108.0,511.2,,,,,,,,,,,
110502,07/10/2013 12:00:00 AM,NA,41.0,71.0,54.0,,,,,,,,,,,
104862,08/07/2006 12:00:00 AM,NA,12.1,6.3,8.7,,,,,,,,,,,
96228,08/10/2011 12:00:00 AM,NA,1.0,1.0,1.0,,,,,,,,,,,
111891,07/08/2013 12:00:00 AM,NA,1.0,1.0,1.0,,,,,,,,,,,
109949,08/04/2014 12:00:00 AM,NA,411.0,548.0,474.6,,,,,,,,,,,
102744,05/26/2006 12:00:00 AM,NA,1.0,1.0,1.0,,,,,,,,,,,
106140,07/25/2013 12:00:00 AM,NA,10.0,13.0,11.4,,,,,,,,,,,
106464,06/21/2012 12:00:00 AM,NA,25.3,17.3,20.9,,,,,,,,,,,
105278,07/10/2014 12:00:00 AM,NA,1.0,5.0,2.2,,,,,,,,,,,
96778,07/25/2011 12:00:00 AM,NA,410.6,139.6,239.4,,,,,,,,,,,
102768,07/21/2006 12:00:00 AM,NA,1.0,1.0,1.0,,,,,,,,,,,
106682,06/25/2014 12:00:00 AM,NA,3.0,1.0,1.7,,,,,,,,,,,
105662,08/23/2012 12:00:00 AM,NA,124.6,325.5,201.4,,,,,,,,,,,
108063,08/19/2013 12:00:00 AM,NA,727.0,1120.0,902.4,,,,,,,,,,,
93389,08/22/2014 12:00:00 AM,NA,579.0,435.0,501.9,,,,,,,,,,,
98100,06/04/2007 12:00:00 AM,NA,0.0,0.0,,,,,,,,,,,,
96905,08/28/2013 12:00:00 AM,NA,313.0,199.0,249.6,,,,,,,,,,,
107093,08/03/2013 12:00:00 AM,NA,219.0,133.0,170.7,,,,,,,,,,,
103185,05/31/2006 12:00:00 AM,NA,7.5,6.3,6.9,,,,,,,,,,,
90252,06/27/2011 12:00:00 AM,NA,146.7,117.8,131.5,,,,,,,,,,,
90318,06/30/2011 12:00:00 AM,NA,73.3,1.0,8.6,,,,,,,,,,,
107934,08/08/2013 12:00:00 AM,NA,2420.0,2420.0,2420.0,,,,,,,,,,,
107853,08/05/2013 12:00:00 AM,NA,436.0,216.0,306.9,,,,,,,,,,,
107371,07/19/2012 12:00:00 AM,NA,122.4,238.2,170.8,,,,,,,,,,,
104675,06/30/2006 12:00:00 AM,NA,29.3,42.1,35.1,,,,,,,,,,,
96140,08/06/2011 12:00:00 AM,NA,143.0,214.2,175.0,,,,,,,,,,,
96906,08/28/2013 12:00:00 AM,NA,2420.0,2420.0,2420.0,,,,,,,,,,,
96206,08/09/2011 12:00:00 AM,NA,6.3,32.3,14.3,,,,,,,,,,,
112279,06/12/2014 12:00:00 AM,NA,2420.0,2420.0,2420.0,,,,,,,,,,,
111972,08/30/2012 12:00:00 AM,NA,154.1,307.6,217.7,,,,,,,,,,,
109417,08/21/2013 12:00:00 AM,NA,11.0,63.0,26.3,,,,,,,,,,,
102951,08/23/2006 12:00:00 AM,NA,184.2,127.4,153.2,,,,,,,,,,,
104540,06/13/2006 12:00:00 AM,NA,1.0,1.0,1.0,,,,,,,,,,,
97456,08/29/2011 12:00:00 AM,NA,209.8,156.5,181.2,,,,,,,,,,,
110524,07/11/2013 12:00:00 AM,NA,3.0,9.0,5.2,,,,,,,,,,,
107048,08/01/2013 12:00:00 AM,NA,2420.0,2420.0,2420.0,,,,,,,,,,,
96981,08/24/2011 12:00:00 AM,NA,410.6,307.6,355.4,,,,,,,,,,,
107910,08/07/2013 12:00:00 AM,NA,2420.0,115.0,527.5,,,,,,,,,,,
97897,07/05/2006 12:00:00 AM,NA,,1.0,,,,,,,,,,,,
108816,07/27/2014 12:00:00 AM,NA,99.0,148.0,121.0,,,,,,,,,,,
97655,07/28/2011 12:00:00 AM,NA,2419.6,579.4,1184.0,,,,,,,,,,,
90428,07/05/2011 12:00:00 AM,NA,1.0,1.0,1.0,,,,,,,,,,,
104887,08/08/2006 12:00:00 AM,NA,143.9,37.9,73.8,,,,,,,,,,,
104069,06/08/2006 12:00:00 AM,NA,22.8,14.5,18.2,,,,,,,,,,,
102929,08/22/2006 12:00:00 AM,NA,71.2,88.4,79.3,,,,,,,,,,,
112368,06/16/2014 12:00:00 AM,NA,1414.0,1414.0,1414.0,,,,,,,,,,,
104555,06/13/2006 12:00:00 AM,NA,5.2,2.0,3.2,,,,,,,,,,,
112475,07/18/2013 12:00:00 AM,NA,31.0,60.0,43.1,,,,,,,,,,,
112453,07/17/2013 12:00:00 AM,NA,3.0,2.0,2.4,,,,,,,,,,,
104627,06/16/2006 12:00:00 AM,NA,0.0,0.0,,,,,,,,,,,,
110980,06/20/2014 12:00:00 AM,NA,3.0,8.0,4.9,,,,,,,,,,,
93232,08/20/2014 12:00:00 AM,NA,365.0,349.0,356.9,,,,,,,,,,,
104588,06/15/2006 12:00:00 AM,NA,5.2,8.5,6.6,,,,,,,,,,,
98441,06/19/2007 12:00:00 AM,NA,2.0,3.1,2.5,,,,,,,,,,,
106152,07/25/2013 12:00:00 AM,NA,43.0,91.0,62.6,,,,,,,,,,,
98627,06/12/2007 12:00:00 AM,NA,1.0,2.0,1.4,,,,,,,,,,,
